iter	RMSE
540	3.055275402
541	3.05376658
542	3.051887458
543	3.050909734
544	3.049556548
545	3.047727282
546	3.046348047
547	3.045677647
548	3.044370154
549	3.043535619
550	3.042932608
551	3.042277923
552	3.041313108
553	3.040704755
554	3.039782878
555	3.03845822
556	3.037254794
557	3.036173447
558	3.034637499
559	3.033987182
560	3.033369467
561	3.032826057
562	3.031848701
563	3.030619867
564	3.029038739
565	3.028166438
566	3.026667276
567	3.025225788
568	3.023964289
569	3.022775995
570	3.021963438
571	3.0210724
572	3.020350933
573	3.019073599
574	3.018104042
575	3.016819465
576	3.015846008
577	3.015043986
578	3.014148109
579	3.012682118
580	3.011938989
581	3.010346786
582	3.009178707
583	3.006984653
584	3.00558184
585	3.004623489
586	3.002482929
587	3.001538497
588	3.000505993
589	2.999260393
590	2.998049942
591	2.997151451
592	2.996239165
593	2.99549221
594	2.993609036
595	2.992136682
596	2.991288778
597	2.989975223
598	2.98865006
599	2.987531584
600	2.986509451
601	2.98461102
602	2.983190354
603	2.982264315
604	2.981565688
605	2.980356728
606	2.979264173
607	2.977264853
608	2.976210829
609	2.975474423
610	2.974653173
611	2.972602951
612	2.971495006
613	2.970551125
614	2.969974878
615	2.969101697
616	2.968162371
617	2.966768276
618	2.965784432
619	2.964834352
620	2.963593628
621	2.9628022
622	2.961345062
623	2.960282478
624	2.958750151
625	2.957761396
626	2.956714193
627	2.955965946
628	2.95491832
629	2.954036185
630	2.952711556
631	2.951441973
632	2.950456991
633	2.949869497
634	2.949181497
635	2.948526622
636	2.947314709
637	2.946434759
638	2.945516767
639	2.944763744
640	2.944162997
641	2.943261585
642	2.942536069
643	2.941846136
644	2.940476776
645	2.940099441
646	2.939014422
647	2.938303664
648	2.937675274
649	2.936737392
650	2.935934863
651	2.934868732
652	2.933928772
653	2.932839584
654	2.932171801
655	2.930955217
656	2.930364062
657	2.928499456
658	2.927194408
659	2.92606451
660	2.923475961
661	2.922665166
662	2.921760487
663	2.920450728
664	2.919585384
665	2.917523616
666	2.91662239
667	2.91535791
668	2.913814072
669	2.912925057
670	2.911733171
671	2.910834634
672	2.909133323
673	2.908207342
674	2.907555163
675	2.906084174
676	2.903744719
677	2.903059942
678	2.902214602
679	2.901450011
680	2.900386026
681	2.899038943
682	2.898455222
683	2.897933422
684	2.8969188
685	2.896203352
686	2.895331147
687	2.894469954
688	2.893317898
689	2.892640678
690	2.89165104
691	2.890594652
692	2.89010356
693	2.889646067
694	2.888908598
695	2.888240905
696	2.887364772
697	2.886612483
698	2.885889541
699	2.885237412
700	2.884483986
701	2.883761963
702	2.883080517
703	2.882358445
704	2.881471097
705	2.881032546
706	2.880595642
707	2.880101385
708	2.87887985
709	2.878174483
710	2.877368578
711	2.876740131
712	2.875287744
713	2.874627922
714	2.873303746
715	2.872143154
716	2.87058906
717	2.869365139
718	2.868625538
719	2.867811361
720	2.866911657
721	2.866155835
722	2.865150601
723	2.864342609
724	2.863575292
725	2.862842544
726	2.861836886
727	2.861354506
728	2.860700577
729	2.860022147
730	2.859349099
731	2.857343695
732	2.856601715
733	2.856000836
734	2.854960665
735	2.85371472
736	2.852334368
737	2.851710688
738	2.85098812
739	2.850283857
740	2.849469811
741	2.848700755
742	2.847585331
743	2.846904715
744	2.84544896
745	2.844554235
746	2.843645676
747	2.842132326
748	2.841348656
749	2.839917621
750	2.838751509
751	2.837928053
752	2.83687813
753	2.836249934
754	2.835133453
755	2.834274763
756	2.833516036
757	2.832847531
758	2.832179605
759	2.83133293
760	2.830430158
761	2.829748103
762	2.828603004
763	2.827918163
764	2.827262497
765	2.826276775
766	2.825607838
767	2.82495596
768	2.824098686
769	2.823228383
770	2.822837784
771	2.821940294
772	2.820982266
773	2.819837762
774	2.818424777
775	2.817766161
776	2.816463814
777	2.815470921
778	2.814696216
779	2.814058399
780	2.813139071
781	2.812304904
782	2.811701055
783	2.810537098
784	2.809522501
785	2.808785226
786	2.807335955
787	2.806682356
788	2.805660386
789	2.804937406
790	2.804499554
791	2.803786203
792	2.80335422
793	2.802012668
794	2.801351757
795	2.800142545
796	2.799726234
797	2.799232882
798	2.798223819
799	2.797669626
800	2.797271225
801	2.795797546
802	2.795320432
803	2.793665641
804	2.793029196
805	2.792552648
806	2.792033163
807	2.791443672
808	2.790679759
809	2.789914046
810	2.788580654
811	2.787972612
812	2.786971552
813	2.786516762
814	2.785295515
815	2.784410204
816	2.78382377
817	2.78282383
818	2.781936696
819	2.781085526
820	2.779486482
821	2.778591717
822	2.778259625
823	2.777755683
824	2.777122505
825	2.776351327
826	2.775594772
827	2.774465772
828	2.773578096
829	2.772671862
830	2.772030853
831	2.771272187
832	2.770667157
833	2.770084362
834	2.769535281
835	2.768263916
836	2.767745403
837	2.767245807
838	2.766622828
839	2.765692085
840	2.764681516
841	2.763790584
842	2.763218744
843	2.762215783
844	2.761347167
845	2.760219679
846	2.75955
847	2.758922996
848	2.758324725
849	2.757831913
850	2.757243572
851	2.756236347
852	2.755533262
853	2.754902177
854	2.75423266
855	2.752745049
856	2.7518868
857	2.750639881
858	2.750048722
859	2.749408428
860	2.748690968
861	2.748262414
862	2.747414903
863	2.746814305
864	2.746215732
865	2.745160849
866	2.744026485
867	2.743703808
868	2.742833678
869	2.742180984
870	2.74169537
871	2.740997321
872	2.740508884
873	2.739948374
874	2.739437896
875	2.738390255
876	2.737797209
877	2.737298184
878	2.736725191
879	2.73562991
880	2.734864079
881	2.733721931
882	2.733075222
883	2.732501736
884	2.731988514
885	2.731332107
886	2.730717226
887	2.729729433
888	2.728754516
889	2.727661584
890	2.726844932
891	2.72653654
892	2.725595786
893	2.724854095
894	2.724123713
895	2.723381779
896	2.722911363
897	2.722250388
898	2.72162571
899	2.720704693
900	2.720120519
901	2.719625725
902	2.71875565
903	2.717909366
904	2.717262419
905	2.715917407
906	2.7148052
907	2.714289287
908	2.712778584
909	2.711574191
910	2.71095758
911	2.710338492
912	2.709870984
913	2.709337237
914	2.708740934
915	2.708370764
916	2.707726659
917	2.706757332
918	2.706074723
919	2.705396013
920	2.704793803
921	2.704383515
922	2.704055874
923	2.70358765
924	2.702929291
925	2.701657208
926	2.700976008
927	2.70060828
928	2.699894701
929	2.699237054
930	2.698216876
931	2.697699443
932	2.697030718
933	2.696246612
934	2.69535114
935	2.694434443
936	2.693803453
937	2.692998825
938	2.692471577
939	2.691550505
940	2.691190806
941	2.6902084
942	2.68960554
943	2.689027425
944	2.687794113
945	2.686921272
946	2.686457029
947	2.685909711
948	2.685345359
949	2.684728329
950	2.683477142
951	2.682805779
952	2.681838415
953	2.681220543
954	2.680517694
955	2.67979296
956	2.679046413
957	2.67807047
958	2.677136568
959	2.676238542
960	2.675681364
961	2.674935252
962	2.67346158
963	2.673044557
964	2.672562228
965	2.672069757
966	2.671158046
967	2.67056631
968	2.670038586
969	2.669512338
970	2.66815034
971	2.667317
972	2.666190333
973	2.665122321
974	2.6641824
975	2.663632909
976	2.663178898
977	2.662672781
978	2.662259594
979	2.661453357
980	2.660742608
981	2.660029367
982	2.659379165
983	2.658560001
984	2.657772771
985	2.656659158
986	2.655573242
987	2.655072723
988	2.653778013
989	2.652880588
990	2.652057012
991	2.651446395
992	2.650726223
993	2.650147159
994	2.649326601
995	2.648494421
996	2.647604042
997	2.647281369
998	2.646327744
999	2.645773894
